colsample_bytree,eta,max_depth,min_child_weight,n_estimators,subsample
1.0000000000000002,0.01,6,7,200,0.7999999999999999
0.8000000000000002,0.01,6,7,200,0.7
1.0000000000000002,0.01,5,7,200,0.7999999999999999
0.6000000000000001,0.01,7,7,200,0.7999999999999999
0.8000000000000002,0.01,3,4,200,0.7999999999999999
1.0000000000000002,0.01,6,7,200,0.7
1.0000000000000002,0.01,7,5,200,0.7999999999999999
1.0000000000000002,0.01,6,7,200,0.7999999999999999
0.8000000000000002,0.01,4,5,200,0.5
0.8000000000000002,0.01,4,5,200,0.7
1.0000000000000002,0.01,7,7,200,0.7999999999999999
0.8000000000000002,0.01,5,6,200,0.7
0.8000000000000002,0.01,6,7,200,0.7999999999999999
1.0000000000000002,0.01,7,7,200,0.7999999999999999
0.8000000000000002,0.01,4,7,200,0.5
1.0000000000000002,0.01,6,5,200,0.7999999999999999
0.8000000000000002,0.01,4,3,200,0.6
0.8000000000000002,0.01,3,4,200,0.5
0.8000000000000002,0.01,6,6,200,0.7999999999999999
0.8000000000000002,0.01,5,5,200,0.7
0.8000000000000002,0.01,4,6,200,0.5
0.8000000000000002,0.01,6,6,200,0.7999999999999999
0.6000000000000001,0.01,5,6,200,0.5
0.4,0.01,7,5,200,0.5
0.4,0.01,3,3,200,0.7999999999999999
0.8000000000000002,0.01,4,7,200,0.7
0.8000000000000002,0.01,7,7,200,0.7
0.6000000000000001,0.01,7,3,200,0.7999999999999999
0.8000000000000002,0.01,7,7,200,0.7999999999999999
0.4,0.01,7,7,200,0.7999999999999999
0.4,0.01,3,7,200,0.7999999999999999
0.4,0.01,5,5,200,0.7999999999999999
0.8000000000000002,0.01,6,5,200,0.7
0.8000000000000002,0.01,6,6,200,0.7999999999999999
1.0000000000000002,0.01,6,6,200,0.7
1.0000000000000002,0.01,6,7,200,0.7
0.8000000000000002,0.01,7,3,200,0.7999999999999999
0.8000000000000002,0.01,5,7,200,0.7999999999999999
0.8000000000000002,0.01,6,5,200,0.7999999999999999
0.8000000000000002,0.01,6,6,200,0.7999999999999999
0.6000000000000001,0.01,6,6,200,0.7999999999999999
1.0000000000000002,0.01,5,5,200,0.5
0.4,0.01,5,3,200,0.7999999999999999
1.0000000000000002,0.01,7,3,200,0.7999999999999999
0.4,0.01,3,3,200,0.7999999999999999
0.4,0.01,7,7,200,0.7999999999999999
0.8000000000000002,0.01,6,5,200,0.5
0.8000000000000002,0.01,4,5,200,0.7999999999999999
0.4,0.01,4,5,200,0.7999999999999999
0.6000000000000001,0.01,7,7,200,0.7999999999999999
0.6000000000000001,0.01,5,7,200,0.7999999999999999
0.8000000000000002,0.01,6,4,200,0.7999999999999999
0.4,0.01,4,7,200,0.7999999999999999
0.8000000000000002,0.01,7,6,200,0.7999999999999999
0.8000000000000002,0.01,7,7,200,0.7999999999999999
0.4,0.01,7,4,200,0.7999999999999999
1.0000000000000002,0.01,5,6,200,0.7999999999999999
1.0000000000000002,0.01,7,7,200,0.7999999999999999
1.0000000000000002,0.01,7,7,200,0.7999999999999999
1.0000000000000002,0.01,6,7,200,0.6
1.0000000000000002,0.01,4,6,200,0.7999999999999999
0.8000000000000002,0.01,3,7,200,0.7
1.0000000000000002,0.01,6,3,200,0.7999999999999999
0.8000000000000002,0.01,4,5,200,0.5
0.4,0.01,3,3,200,0.5
0.6000000000000001,0.01,3,3,200,0.7999999999999999
0.6000000000000001,0.01,4,3,200,0.7999999999999999
0.6000000000000001,0.01,3,3,200,0.7999999999999999
1.0000000000000002,0.01,3,3,200,0.7999999999999999
0.6000000000000001,0.01,6,6,200,0.7999999999999999
0.4,0.01,7,3,200,0.7999999999999999
0.8000000000000002,0.01,7,7,200,0.7999999999999999
0.8000000000000002,0.01,3,4,200,0.7
0.6000000000000001,0.01,5,5,200,0.7999999999999999
0.4,0.01,4,7,200,0.7999999999999999
0.4,0.01,4,7,200,0.7
0.4,0.01,6,3,200,0.5
0.4,0.01,6,7,200,0.7
0.4,0.01,3,7,200,0.5
0.4,0.01,6,7,200,0.7999999999999999
0.8000000000000002,0.01,4,7,200,0.7999999999999999
0.8000000000000002,0.01,7,6,200,0.7999999999999999
0.8000000000000002,0.01,7,7,200,0.7999999999999999
0.8000000000000002,0.01,3,4,200,0.7999999999999999
0.8000000000000002,0.01,5,7,200,0.6
0.8000000000000002,0.01,6,6,200,0.7999999999999999
1.0000000000000002,0.01,3,7,200,0.6
0.6000000000000001,0.01,3,7,200,0.7999999999999999
0.8000000000000002,0.01,4,3,200,0.5
1.0000000000000002,0.01,3,3,200,0.7
1.0000000000000002,0.01,3,3,200,0.7999999999999999
0.6000000000000001,0.01,3,5,200,0.7999999999999999
1.0000000000000002,0.01,7,7,200,0.7
1.0000000000000002,0.01,4,4,200,0.5
1.0000000000000002,0.01,7,7,200,0.7999999999999999
0.8000000000000002,0.01,5,3,200,0.7999999999999999
0.4,0.01,4,7,200,0.7
0.8000000000000002,0.01,4,5,200,0.7999999999999999
0.8000000000000002,0.01,7,7,200,0.6
1.0000000000000002,0.01,5,3,200,0.7999999999999999
