building 24 || best score : 1.2590266349205792 || alpha : 5
building 25 || best score : 1.0553009543183083 || alpha : 0
building 26 || best score : 0.9566023832154994 || alpha : 3
building 27 || best score : 0.8349063108410928 || alpha : 0
building 28 || best score : 2.5229552546655354 || alpha : 1
building 29 || best score : 2.099899398658777 || alpha : 0.1
building 30 || best score : 3.2805716452818134 || alpha : 5
building 31 || best score : 2.7481279506335095 || alpha : 0.01
building 32 || best score : 0.17731900050682156 || alpha : 1
building 33 || best score : 0.2391365884249376 || alpha : 7
building 34 || best score : 0.32031219211367984 || alpha : 7
building 35 || best score : 0.18368153977566284 || alpha : 1
building 36 || best score : 0.21757526757489196 || alpha : 75
building 37 || best score : 2.4159744539412356 || alpha : 7
building 38 || best score : 3.7106489841351764 || alpha : 3
building 39 || best score : 2.5042906683125947 || alpha : 75
building 40 || best score : 5.0924034855590605 || alpha : 7
building 41 || best score : 2.572732818604431 || alpha : 3
building 42 || best score : 6.5597120845813555 || alpha : 0
building 43 || best score : 3.206412194251257 || alpha : 0
building 44 || best score : 2.487098398193826 || alpha : 0.01
building 45 || best score : 1.1434270225703929 || alpha : 75
building 46 || best score : 2.376615694984142 || alpha : 1
building 47 || best score : 2.048484971149396 || alpha : 0.1
building 48 || best score : 0.8458925021359489 || alpha : 3
building 49 || best score : 1.019823232980935 || alpha : 75
building 50 || best score : 1.3044897008843914 || alpha : 1
building 51 || best score : 1.8337003285938607 || alpha : 50
building 52 || best score : 1.44530876109486 || alpha : 3
building 53 || best score : 4.818391633582886 || alpha : 1
building 54 || best score : 7.86843218639603 || alpha : 50
building 55 || best score : 0.7699871177948194 || alpha : 0.01
building 56 || best score : 0.4173507078732407 || alpha : 75
building 57 || best score : 2.265155690175508 || alpha : 0
building 58 || best score : 0.21989698707537406 || alpha : 0
building 59 || best score : 3.1839716328079324 || alpha : 0.1
building 60 || best score : 2.917783340772832 || alpha : 1
building 61 || best score : 2.2358191785024486 || alpha : 0
building 62 || best score : 2.4895485467259495 || alpha : 0
building 63 || best score : 2.7213843736865577 || alpha : 0
building 64 || best score : 1.8448237820581044 || alpha : 0.01
building 65 || best score : 4.494027504797428 || alpha : 0.1
building 66 || best score : 1.6971700311445754 || alpha : 3
building 67 || best score : 2.617502200849348 || alpha : 0.1
building 68 || best score : 2.04891826360127 || alpha : 1
building 69 || best score : 1.2524379649964377 || alpha : 0.01
building 70 || best score : 1.6463184697892492 || alpha : 100
building 71 || best score : 1.9531498155964715 || alpha : 0
building 72 || best score : 1.9996721051937745 || alpha : 100
building 73 || best score : 1.4636790897475895 || alpha : 1
building 74 || best score : 2.834349622345367 || alpha : 3
building 75 || best score : 1.9479825021826707 || alpha : 50
building 76 || best score : 1.903267166623725 || alpha : 0
building 77 || best score : 1.4563196575330364 || alpha : 0
building 78 || best score : 1.669837706697593 || alpha : 0
building 79 || best score : 1.307021515586577 || alpha : 10
building 80 || best score : 2.9978193663150816 || alpha : 1
building 81 || best score : 2.04106171230725 || alpha : 1
building 82 || best score : 2.2310324053768507 || alpha : 0.1
building 83 || best score : 1.6934827369190348 || alpha : 1
building 84 || best score : 1.4550397735800105 || alpha : 1
building 85 || best score : 1.5893878838455986 || alpha : 1
building 86 || best score : 2.5269575749903708 || alpha : 25
building 87 || best score : 4.938052209782954 || alpha : 25
building 88 || best score : 4.275504041394473 || alpha : 10
building 89 || best score : 6.5472146721778355 || alpha : 75
building 90 || best score : 4.181659762794036 || alpha : 7
building 91 || best score : 6.7965594723664395 || alpha : 5
building 92 || best score : 2.7121606181467075 || alpha : 75
building 93 || best score : 2.7641461628024127 || alpha : 1
building 94 || best score : 3.0549355352649465 || alpha : 3
building 95 || best score : 6.779283381116335 || alpha : 0.1
building 96 || best score : 1.539619225402493 || alpha : 0
building 97 || best score : 2.7667763320415832 || alpha : 50
building 98 || best score : 5.615180967810357 || alpha : 0.01
building 99 || best score : 1.7420856732699948 || alpha : 0
building 100 || best score : 2.4338986572210364 || alpha : 5
building 1 || best score : 3.344252678530054 || alpha : 0.1
building 2 || best score : 4.545119247227999 || alpha : 0
building 3 || best score : 4.917675829609092 || alpha : 1
building 4 || best score : 1.896094299821326 || alpha : 1
building 5 || best score : 4.390351257842248 || alpha : 0
building 6 || best score : 2.485912173776852 || alpha : 1
building 7 || best score : 4.128241311495854 || alpha : 0.1
building 8 || best score : 2.511463047029694 || alpha : 3
building 9 || best score : 1.6588213557575993 || alpha : 7
building 10 || best score : 3.4478246877864778 || alpha : 0.01
building 11 || best score : 1.7252369445809619 || alpha : 0
building 12 || best score : 1.928704258838073 || alpha : 25
building 13 || best score : 2.7705531666965997 || alpha : 0
building 14 || best score : 7.699595471898078 || alpha : 1
building 15 || best score : 1.5259060757693248 || alpha : 1
building 16 || best score : 2.52935048544542 || alpha : 0
building 17 || best score : 2.836892882654266 || alpha : 3
building 18 || best score : 3.3633906469586696 || alpha : 10
building 19 || best score : 4.268085128792223 || alpha : 5
building 20 || best score : 2.6136614162646286 || alpha : 0
building 21 || best score : 3.8418791195480124 || alpha : 0.1
building 22 || best score : 1.984678028472436 || alpha : 1
building 23 || best score : 0.6811935505447546 || alpha : 10
building 24 || best score : 1.2662574413881564 || alpha : 5
building 25 || best score : 1.2660904653295482 || alpha : 0
building 26 || best score : 0.9073530470036317 || alpha : 25
building 27 || best score : 0.7996353909808116 || alpha : 3
building 28 || best score : 2.1788851699993605 || alpha : 1
building 29 || best score : 2.1383856031189157 || alpha : 0.1
building 30 || best score : 3.307353603478939 || alpha : 0
building 31 || best score : 2.6521898846049923 || alpha : 0.01
building 32 || best score : 0.18243708315528515 || alpha : 1
building 33 || best score : 0.2228119858416539 || alpha : 0.01
building 34 || best score : 0.30384343916369594 || alpha : 25
building 35 || best score : 0.17398665163766547 || alpha : 3
building 36 || best score : 0.2544297422619717 || alpha : 100
building 37 || best score : 2.4210196975637976 || alpha : 25
building 38 || best score : 2.681174668324892 || alpha : 5
building 39 || best score : 2.892021979540752 || alpha : 5
building 40 || best score : 5.087296514911794 || alpha : 10
building 41 || best score : 2.9331086664890402 || alpha : 100
building 42 || best score : 6.624652195795906 || alpha : 0
building 43 || best score : 2.9421564328777365 || alpha : 0
building 44 || best score : 2.3789409100359777 || alpha : 0.1
building 45 || best score : 1.1965348435214584 || alpha : 1
building 46 || best score : 2.3167160302984695 || alpha : 10
building 47 || best score : 2.125671438625372 || alpha : 0.1
building 48 || best score : 0.8437579202099326 || alpha : 3
building 49 || best score : 0.9733710511018224 || alpha : 25
building 50 || best score : 1.1531604399847681 || alpha : 0.01
building 51 || best score : 1.704767172998856 || alpha : 100
building 52 || best score : 1.4819861021545724 || alpha : 25
building 53 || best score : 5.597546788188991 || alpha : 1
building 54 || best score : 8.679542364721755 || alpha : 3
building 55 || best score : 0.7811623807241912 || alpha : 0.1
building 56 || best score : 0.4603642286127389 || alpha : 25
building 57 || best score : 2.226169899692717 || alpha : 1
building 58 || best score : 0.21215272362979176 || alpha : 1
building 59 || best score : 3.26173393972914 || alpha : 0.1
building 60 || best score : 2.9968778059489125 || alpha : 1
building 61 || best score : 2.2362519469205835 || alpha : 0
building 62 || best score : 2.4518844792250394 || alpha : 0
building 63 || best score : 2.776060268381317 || alpha : 1
building 64 || best score : 1.8192812174462583 || alpha : 0.1
building 65 || best score : 4.309610770062731 || alpha : 0.1
building 66 || best score : 1.7710851589460217 || alpha : 3
building 67 || best score : 2.470100663969498 || alpha : 0.01
building 68 || best score : 1.9106944359897242 || alpha : 0.1
building 69 || best score : 1.1933880428681587 || alpha : 0.1
building 70 || best score : 1.7783192841848772 || alpha : 75
building 71 || best score : 1.9565968545960364 || alpha : 0
building 72 || best score : 2.0031919781665652 || alpha : 25
building 73 || best score : 1.4660006507355963 || alpha : 0.01
building 74 || best score : 2.8147269486555317 || alpha : 1
building 75 || best score : 2.1077057214693986 || alpha : 25
building 76 || best score : 2.146924416998117 || alpha : 0
building 77 || best score : 1.3566406534969262 || alpha : 1
building 78 || best score : 1.5753419397897188 || alpha : 5
building 79 || best score : 1.4657039253266113 || alpha : 0
building 80 || best score : 3.129748992909572 || alpha : 3
building 81 || best score : 1.8730863484539024 || alpha : 3
building 82 || best score : 2.1549287086577342 || alpha : 0
building 83 || best score : 2.57832202083328 || alpha : 5
building 84 || best score : 1.5176153440255782 || alpha : 1
building 85 || best score : 1.5549177639374019 || alpha : 3
building 86 || best score : 2.3487902694385996 || alpha : 50
building 87 || best score : 5.0972275538654985 || alpha : 25
building 88 || best score : 4.216560651155539 || alpha : 7
building 89 || best score : 4.50694542690851 || alpha : 5
building 90 || best score : 3.0733513084832005 || alpha : 7
building 91 || best score : 6.637189779474421 || alpha : 5
building 92 || best score : 2.297668216300953 || alpha : 100
building 93 || best score : 2.8588165340529454 || alpha : 0
building 94 || best score : 3.102705069497049 || alpha : 7
building 95 || best score : 6.951740809342026 || alpha : 1
building 96 || best score : 1.3954700867810135 || alpha : 1
building 97 || best score : 2.6378524618245796 || alpha : 50
building 98 || best score : 5.728597548138828 || alpha : 0.1
building 99 || best score : 1.9887017834770564 || alpha : 0
building 100 || best score : 2.6765087861374064 || alpha : 75
